Val[Epoch: [105], mean_loss: 0.4228, mIoU: 0.7928, Acc: 0.9081, Acc_class: 0.8693, fwIoU: 0.8325, RRecall: 0.9577, RNum: 5.2]
Val[Epoch: [106], mean_loss: 0.4245, mIoU: 0.7901, Acc: 0.9069, Acc_class: 0.8666, fwIoU: 0.8305, RRecall: 0.9582, RNum: 5.3]
Val[Epoch: [107], mean_loss: 0.4232, mIoU: 0.7909, Acc: 0.9074, Acc_class: 0.8670, fwIoU: 0.8312, RRecall: 0.9550, RNum: 5.2]
Val[Epoch: [108], mean_loss: 0.4235, mIoU: 0.7914, Acc: 0.9075, Acc_class: 0.8677, fwIoU: 0.8315, RRecall: 0.9570, RNum: 5.3]
Val[Epoch: [109], mean_loss: 0.4231, mIoU: 0.7894, Acc: 0.9069, Acc_class: 0.8651, fwIoU: 0.8302, RRecall: 0.9537, RNum: 5.1]
Val[Epoch: [110], mean_loss: 0.4236, mIoU: 0.7893, Acc: 0.9067, Acc_class: 0.8653, fwIoU: 0.8300, RRecall: 0.9524, RNum: 5.2]
Val[Epoch: [111], mean_loss: 0.4244, mIoU: 0.7879, Acc: 0.9060, Acc_class: 0.8646, fwIoU: 0.8288, RRecall: 0.9553, RNum: 5.3]
Val[Epoch: [112], mean_loss: 0.4222, mIoU: 0.7929, Acc: 0.9081, Acc_class: 0.8692, fwIoU: 0.8326, RRecall: 0.9567, RNum: 5.2]
Val[Epoch: [113], mean_loss: 0.4228, mIoU: 0.7914, Acc: 0.9074, Acc_class: 0.8681, fwIoU: 0.8314, RRecall: 0.9592, RNum: 5.4]
Val[Epoch: [114], mean_loss: 0.4204, mIoU: 0.7909, Acc: 0.9077, Acc_class: 0.8656, fwIoU: 0.8315, RRecall: 0.9545, RNum: 5.3]
Val[Epoch: [115], mean_loss: 0.4228, mIoU: 0.7896, Acc: 0.9069, Acc_class: 0.8653, fwIoU: 0.8303, RRecall: 0.9550, RNum: 5.2]
Val[Epoch: [116], mean_loss: 0.4211, mIoU: 0.7900, Acc: 0.9072, Acc_class: 0.8651, fwIoU: 0.8307, RRecall: 0.9542, RNum: 5.2]
Val[Epoch: [117], mean_loss: 0.4231, mIoU: 0.7832, Acc: 0.9046, Acc_class: 0.8576, fwIoU: 0.8258, RRecall: 0.9471, RNum: 5.2]
Val[Epoch: [118], mean_loss: 0.4217, mIoU: 0.7882, Acc: 0.9065, Acc_class: 0.8634, fwIoU: 0.8293, RRecall: 0.9533, RNum: 5.2]
Val[Epoch: [119], mean_loss: 0.4205, mIoU: 0.7899, Acc: 0.9071, Acc_class: 0.8652, fwIoU: 0.8306, RRecall: 0.9556, RNum: 5.3]
Val[Epoch: [120], mean_loss: 0.4195, mIoU: 0.7878, Acc: 0.9066, Acc_class: 0.8619, fwIoU: 0.8293, RRecall: 0.9492, RNum: 5.2]
Val[Epoch: [121], mean_loss: 0.4217, mIoU: 0.7887, Acc: 0.9064, Acc_class: 0.8650, fwIoU: 0.8295, RRecall: 0.9551, RNum: 5.3]
Val[Epoch: [122], mean_loss: 0.4186, mIoU: 0.7925, Acc: 0.9083, Acc_class: 0.8676, fwIoU: 0.8326, RRecall: 0.9552, RNum: 5.3]
Val[Epoch: [123], mean_loss: 0.4213, mIoU: 0.7881, Acc: 0.9064, Acc_class: 0.8636, fwIoU: 0.8292, RRecall: 0.9524, RNum: 5.2]
Val[Epoch: [124], mean_loss: 0.4194, mIoU: 0.7925, Acc: 0.9081, Acc_class: 0.8682, fwIoU: 0.8325, RRecall: 0.9566, RNum: 5.1]
Val[Epoch: [125], mean_loss: 0.4180, mIoU: 0.7922, Acc: 0.9082, Acc_class: 0.8672, fwIoU: 0.8324, RRecall: 0.9545, RNum: 5.2]
Val[Epoch: [126], mean_loss: 0.4205, mIoU: 0.7920, Acc: 0.9077, Acc_class: 0.8687, fwIoU: 0.8318, RRecall: 0.9577, RNum: 5.3]
Val[Epoch: [127], mean_loss: 0.4189, mIoU: 0.7924, Acc: 0.9083, Acc_class: 0.8672, fwIoU: 0.8326, RRecall: 0.9569, RNum: 5.3]
Val[Epoch: [128], mean_loss: 0.4202, mIoU: 0.7937, Acc: 0.9083, Acc_class: 0.8706, fwIoU: 0.8331, RRecall: 0.9608, RNum: 5.2]
Val[Epoch: [129], mean_loss: 0.4183, mIoU: 0.7938, Acc: 0.9086, Acc_class: 0.8698, fwIoU: 0.8333, RRecall: 0.9586, RNum: 5.3]
Val[Epoch: [130], mean_loss: 0.4166, mIoU: 0.7906, Acc: 0.9077, Acc_class: 0.8649, fwIoU: 0.8313, RRecall: 0.9525, RNum: 5.3]
Val[Epoch: [131], mean_loss: 0.4182, mIoU: 0.7956, Acc: 0.9093, Acc_class: 0.8717, fwIoU: 0.8347, RRecall: 0.9612, RNum: 5.3]
